browser,chromium,chromium,webkit,webkit,firefox,firefox
.vspscc,True,True,True,True,True,True
.w,True,True,True,True,True,True
.war,True,True,True,True,True,True
.wav,True,True,False,False,True,True
.wbp,True,True,True,True,True,True
.wci,True,True,True,True,True,True
.web,True,True,True,True,True,True
.weba,True,True,True,True,True,True
.webinfo,True,True,True,True,True,True
.webm,True,True,False,False,True,True
.webp,False,True,False,True,True,True
.wma,True,True,False,False,True,True
.wmf,True,True,True,True,True,True
.wml,True,True,False,False,True,True
.wmv,True,True,False,False,True,True
.woa,True,True,True,True,True,True
.woff,False,False,True,True,True,True
.woff2,True,True,True,True,True,True
.wpd,True,True,True,True,True,True
.ws,True,True,True,True,True,True
.wsdl,True,True,True,True,True,True
.wvx,True,True,False,False,True,True
.wws,True,True,True,True,True,True
.x,True,True,True,True,True,True
.xhtm,True,True,True,True,True,True
.xhtml,True,True,True,True,True,True
.xls,False,False,False,False,True,True
.xlsx,False,False,False,False,True,True
.xml,True,True,True,True,True,True
.xpi,True,True,True,True,True,True
.xpml,True,True,True,True,True,True
.xsd,True,True,True,True,True,True
.xsl,True,True,True,True,True,True
.xslt,True,True,True,True,True,True
.xspf,True,True,True,True,True,True
.xul,False,False,True,True,True,True
.y,True,True,True,True,True,True
.zdat,True,True,True,True,True,True
.zip,False,False,False,False,True,True
